model,RMSE,MAE,R2,AUC_top5,PPV_at_5pct
xgboost_raw,13932.931601222594,5531.809151229454,0.26783417183531977,0.8697989697289176,0.3820196257857813
quantile_median,14550.467088512753,4768.336416287823,0.20149375836327477,0.8613070517338671,0.39088088225563933
xgboost_log,14598.70861012709,4645.591492877762,0.19619014665153756,0.86273092602804,0.35196549078593825
tweedie,41091.031768325265,6692.5537466001115,-5.368227030092377,0.8564654162350688,0.36842860229817065
two_part,274943.05812366237,14259.64718742148,-284.10836733188194,0.8671382795668655,0.39400021158370935
log_ols,44101839.92606307,1083755.1894451021,-7335636.508609409,0.8568894551448734,0.351417078537409
