n,coverage,mean_width,lower_miscoverage,upper_miscoverage,model,interval_width_reduction
2608,0.901565362989664,54076.3847952159,0.08999106826904034,0.008443568741295955,No prior-year utilization/spending,0
2608,0.9141450100465293,48726.44466800636,0.07979949418472879,0.006055495768741908,With prior-year utilization/spending,5349.940127209535
