age_group,global_width,mondrian_width,width_cost
0-17,13480.237493813383,6385.749752955016,-7094.487740858367
18-34,14260.594088134658,11453.682743026398,-2806.9113451082594
35-49,15619.352562459324,13181.075868754007,-2438.2766937053166
50-64,18522.054542904967,23870.37308199995,5348.318539094984
65+,19678.19968498598,31262.420167636123,11584.220482650144
