age_group,n,coverage,mean_width,lower_miscoverage,upper_miscoverage
0-17,619,0.8974661812132297,6385.749752955016,0.037972215989969645,0.0645616027968009
18-34,538,0.9203675305607131,11453.682743026398,0.0281146832649659,0.0515177861743207
35-49,464,0.8943497496693573,13181.075868754007,0.039774697091876095,0.06587555323876651
50-64,474,0.8808083123650654,23870.37308199995,0.0442172564978496,0.0749744311370843
65+,513,0.8876158931102066,31262.420167636123,0.028033482551480172,0.08435062433831372
